23.02.2026,06.03.2026,SCHULE
04.05.2026,22.05.2026,SCHULE
04.05.2026,04.05.2026,SCHULE_GESCHLOSSEN
15.05.2026,15.05.2026,SCHULE_GESCHLOSSEN
08.06.2026,19.06.2026,SCHULE
31.08.2026,11.09.2026,SCHULE
26.10.2026,06.11.2026,SCHULE
07.12.2026,25.12.2026,SCHULE
